case,x0,y0,x1,y1,stratum,lq_gt_gradient_difference,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200
case4,1536,512,1792,768,mid,11.005371,20.283924,20.347635,18.254572,0.326665,0.326585,0.254074,0.820972,0.817557,0.648416
case4,1792,512,2048,768,low,10.547907,19.747747,19.790051,17.128803,0.343820,0.342013,0.249305,0.761288,0.737529,0.628365
case4,2048,512,2304,768,low,10.468674,19.490920,19.496316,17.160891,0.307186,0.306602,0.233543,0.809056,0.799913,0.620343
case4,2304,512,2560,768,low,9.055374,20.261410,20.294074,17.930886,0.386866,0.389387,0.336612,0.766376,0.654230,0.532592
case4,2560,512,2816,768,low,8.932013,20.683632,20.729858,19.314401,0.378581,0.382654,0.347284,0.788415,0.724984,0.543887
case4,2816,512,3072,768,high,14.686646,16.949134,16.956068,15.430123,0.235473,0.234487,0.182824,0.861499,0.721868,0.546547
case4,3072,512,3328,768,high,19.649267,15.701987,15.738121,13.859185,0.196451,0.196890,0.134130,0.831071,0.728866,0.540239
case4,3328,512,3584,768,high,22.998394,15.276695,15.293955,13.039008,0.136383,0.137509,0.095160,0.876848,0.756442,0.552764
case4,3584,512,3840,768,high,19.629089,15.798376,15.812737,14.267163,0.189784,0.187621,0.125034,0.833232,0.704974,0.506581
case4,3840,512,4096,768,high,19.514202,16.014269,16.035167,14.827506,0.175574,0.172763,0.124956,0.873778,0.751949,0.477567
case4,0,768,256,1024,mid,11.847412,19.471135,19.529950,19.123331,0.278322,0.279390,0.263620,0.845641,0.819041,0.671902
case4,256,768,512,1024,low,10.588094,19.451501,19.521020,19.030407,0.316465,0.319352,0.302961,0.788230,0.768214,0.683232
case4,512,768,768,1024,low,10.268356,19.713794,19.752505,19.078497,0.329746,0.333605,0.318165,0.783402,0.724629,0.642673
case4,768,768,1024,1024,mid,12.283377,18.420671,18.416256,16.961092,0.312098,0.307718,0.256581,0.823570,0.748309,0.584133
case4,1024,768,1280,1024,low,9.532053,19.869746,19.934961,19.395488,0.437383,0.437509,0.406178,0.785174,0.745064,0.629088
case4,1280,768,1536,1024,low,8.327185,21.010641,21.072084,20.335411,0.412856,0.418711,0.387294,0.751223,0.702027,0.563223
case4,1536,768,1792,1024,low,7.804830,21.506526,21.579881,20.734680,0.437174,0.443048,0.409156,0.762583,0.715414,0.596124
case4,1792,768,2048,1024,low,9.536769,19.865470,19.909700,16.870160,0.357489,0.355326,0.269062,0.764062,0.710847,0.595471
case4,2048,768,2304,1024,low,8.471197,20.341172,20.385346,17.131206,0.403796,0.402056,0.314720,0.756985,0.668669,0.523271
case4,2304,768,2560,1024,low,9.829244,19.344917,19.376933,17.991816,0.338041,0.338361,0.285754,0.762547,0.680166,0.499777
case4,2560,768,2816,1024,mid,12.646845,16.926850,16.904846,16.159727,0.280776,0.281000,0.254457,0.807433,0.714896,0.540734
case4,2816,768,3072,1024,high,14.378210,16.905445,16.938121,15.802714,0.282514,0.282924,0.230849,0.766088,0.670156,0.523035
case4,3072,768,3328,1024,high,15.000310,17.313852,17.387743,16.189803,0.263657,0.267356,0.209626,0.797852,0.727457,0.567648
case4,3328,768,3584,1024,high,14.933777,17.395629,17.369456,14.665491,0.247082,0.242118,0.148193,0.791562,0.681726,0.553168
case4,3584,768,3840,1024,high,17.242554,15.701491,15.772122,14.289491,0.198316,0.201076,0.150086,0.783118,0.680285,0.532665
case4,3840,768,4096,1024,high,18.455151,15.733017,15.738543,14.843890,0.167243,0.166102,0.123779,0.802423,0.709233,0.503820
case4,0,1024,256,1280,mid,12.185872,19.230305,19.257706,17.075795,0.265514,0.262015,0.198889,0.798931,0.732633,0.557598
case4,256,1024,512,1280,low,9.482778,20.077432,20.161997,18.049274,0.352758,0.354576,0.311355,0.799909,0.690857,0.553828
case4,512,1024,768,1280,low,8.515360,19.218618,19.214147,17.534872,0.393624,0.395398,0.359808,0.724838,0.619140,0.560374
case4,768,1024,1024,1280,low,9.522156,18.333775,18.362596,16.456298,0.393543,0.398843,0.351007,0.756906,0.658086,0.526372
case4,1024,1024,1280,1280,mid,13.061864,16.301448,16.305932,14.469629,0.302787,0.316014,0.271654,0.789823,0.659555,0.524124
case4,1280,1024,1536,1280,low,10.036642,18.449729,18.410608,16.838824,0.342129,0.353331,0.331299,0.764829,0.657169,0.543790
case4,1536,1024,1792,1280,low,7.456421,20.459851,20.568651,18.838366,0.419385,0.425990,0.382106,0.751804,0.645078,0.521190
case4,1792,1024,2048,1280,low,9.186412,19.266217,19.315950,16.637447,0.366449,0.366782,0.279200,0.771300,0.671925,0.525798
case4,2048,1024,2304,1280,low,8.684641,19.509342,19.578989,16.411586,0.370421,0.367032,0.275521,0.756202,0.646918,0.518343
case4,2304,1024,2560,1280,low,8.674429,19.510443,19.516822,17.031960,0.393140,0.390676,0.323938,0.758816,0.632387,0.473406
case4,2560,1024,2816,1280,high,13.332642,16.483723,16.512615,15.394850,0.242046,0.245863,0.205596,0.807127,0.699087,0.525002
case4,2816,1024,3072,1280,mid,13.279821,17.363308,17.385224,15.766494,0.272106,0.267149,0.192691,0.809441,0.729651,0.567107
case4,3072,1024,3328,1280,high,13.480280,16.975319,16.946092,14.969680,0.251887,0.247207,0.193338,0.809073,0.749592,0.655979
case4,3328,1024,3584,1280,mid,12.103601,17.914455,17.944650,16.743470,0.274887,0.273512,0.232794,0.803400,0.709053,0.451352
case4,3584,1024,3840,1280,mid,13.138855,17.971880,17.973330,16.676190,0.277876,0.278688,0.225763,0.769412,0.676439,0.444044
case4,3840,1024,4096,1280,high,16.340982,16.869082,16.855193,15.262759,0.209523,0.206128,0.139189,0.849777,0.732456,0.511029
case4,0,1280,256,1536,mid,12.201152,18.680823,18.711903,15.485043,0.275230,0.275766,0.201394,0.835381,0.719877,0.550505
case4,256,1280,512,1536,high,13.659180,17.393995,17.400036,14.453894,0.233528,0.228187,0.146814,0.817567,0.708350,0.556030
case4,512,1280,768,1536,mid,11.446777,18.899121,18.910496,15.461118,0.305778,0.303577,0.222158,0.789494,0.688672,0.557887
case4,768,1280,1024,1536,high,14.107224,16.438468,16.404016,13.427041,0.269849,0.268776,0.179541,0.782989,0.672431,0.550223
case4,1024,1280,1280,1536,high,13.603231,17.054068,17.098017,14.812546,0.265214,0.270481,0.214340,0.821174,0.737942,0.608250
case4,1280,1280,1536,1536,mid,11.600082,18.451605,18.431277,16.220687,0.307325,0.305121,0.227056,0.834004,0.755404,0.615830
case4,1536,1280,1792,1536,low,8.668422,20.206143,20.245770,17.300633,0.389060,0.390936,0.295585,0.770061,0.660069,0.536670
case4,1792,1280,2048,1536,low,8.563309,20.598126,20.639259,18.287379,0.380772,0.377960,0.299751,0.756901,0.679356,0.504158
case4,2048,1280,2304,1536,low,8.768488,20.734858,20.807106,18.999621,0.422912,0.422602,0.336759,0.745758,0.683580,0.511785
case4,2304,1280,2560,1536,low,10.173849,20.324907,20.347625,19.379023,0.402791,0.400238,0.354148,0.799793,0.740350,0.562403
case4,2560,1280,2816,1536,low,9.926001,19.785891,19.844306,18.841635,0.391711,0.393984,0.353299,0.810407,0.727109,0.596324
case4,2816,1280,3072,1536,mid,11.075907,19.250399,19.299715,18.736264,0.341757,0.344452,0.330869,0.818960,0.760988,0.687032
case4,3072,1280,3328,1536,low,10.194687,19.078716,19.132794,18.431722,0.388891,0.392696,0.375211,0.762921,0.700885,0.598259
case4,3328,1280,3584,1536,mid,12.425608,18.319399,18.424186,17.037107,0.297237,0.300414,0.244988,0.797055,0.697572,0.522639
case4,3584,1280,3840,1536,high,13.816504,17.647406,17.675089,15.660756,0.274583,0.275090,0.194760,0.784073,0.675097,0.517897
case4,3840,1280,4096,1536,high,15.348001,17.209274,17.237948,14.692826,0.255470,0.254493,0.115931,0.833017,0.746578,0.584234
